,date,name,code,자본유보율,연매출,자기자본(자본총계),자본금,부채비율
0,2018-12-10,CJ,001040,2601.61,268986.0,293254.0,1579.0,144.54
1,2018-12-10,CJ씨푸드,011150,236.16,1646.0,1202.0,181.0,100.18
2,2018-12-10,HDC,012630,717.2,53587.0,65394.0,3769.0,120.74
3,2018-12-10,HSD엔진,082740,514.09,7689.0,12313.0,695.0,126.7
4,2018-12-10,KG케미칼,001390,337.52,10995.0,14807.0,642.0,156.27
5,2018-12-10,OCI,010060,2564.28,36316.0,60778.0,1272.0,77.94
6,2018-12-10,SH에너지화학,002360,90.83,1881.0,1253.0,557.0,16.36
7,2018-12-10,SK네트웍스,001740,281.63,152023.0,72274.0,6487.0,207.74
8,2018-12-10,SK케미칼,285130,1010.43,878.0,19124.0,652.0,161.49
9,2018-12-10,STX,011810,641.96,18039.0,6275.0,478.0,1374.49
10,2018-12-10,WISCOM,024070,1447.57,1168.0,1297.0,75.0,11.35
11,2018-12-10,갤럭시아에스엠,011420,198.79,373.0,498.0,138.0,23.06
12,2018-12-10,경동도시가스,267290,2393.05,8715.0,7103.0,118.0,141.32
13,2018-12-10,고려제강,002240,7827.65,15505.0,24006.0,180.0,64.61
14,2018-12-10,골든브릿지증권,001290,139.34,448.0,8565.0,650.0,462.6
15,2018-12-10,극동유화,014530,777.38,4901.0,2685.0,174.0,80.94
16,2018-12-10,금호에이치티,214330,1787.01,1797.0,1502.0,49.0,65.46
17,2018-12-10,까뮤이앤씨,013700,105.75,1722.0,1399.0,226.0,136.76
18,2018-12-10,노루페인트,090350,2844.76,5514.0,5918.0,102.0,97.91
19,2018-12-10,대덕GDS,004130,4189.63,4824.0,5687.0,114.0,18.75
20,2018-12-10,대림씨엔에스,004440,2193.1,2209.0,3613.0,127.0,26.55
21,2018-12-10,대영포장,014160,151.93,3121.0,2077.0,533.0,60.68
22,2018-12-10,대원제약,003220,1784.87,2655.0,2272.0,91.0,35.13
23,2018-12-10,대유에이텍,002880,161.81,10755.0,8962.0,497.0,325.59
24,2018-12-10,동국실업,001620,609.25,6020.0,5491.0,267.0,202.17
25,2018-12-10,동남합성,023450,613.74,1374.0,917.0,79.0,79.15
26,2018-12-10,동방,004140,184.81,5061.0,5425.0,378.0,328.28
27,2018-12-10,동아쏘시오홀딩스,000640,3331.15,6903.0,14594.0,307.0,59.63
28,2018-12-10,동양,001520,753.1,4831.0,9804.0,1199.0,15.12
29,2018-12-10,롯데손해보험,000400,308.39,33179.0,128022.0,1343.0,2239.35
30,2018-12-10,롯데쇼핑,023530,10835.63,181799.0,279485.0,1406.0,109.33
31,2018-12-10,롯데하이마트,071840,1624.66,40993.0,32046.0,1180.0,58.19
32,2018-12-10,마니커,027740,43.47,2546.0,2517.0,584.0,160.21
33,2018-12-10,모두투어리츠,204210,6.71,42.0,801.0,391.0,91.87
34,2018-12-10,무림페이퍼,009200,283.56,10346.0,19157.0,1040.0,196.72
35,2018-12-10,미래에셋생명,085620,147.95,43220.0,355208.0,8315.0,1631.37
36,2018-12-10,삼성SDI,006400,2983.72,63216.0,157515.0,3567.0,37.54
37,2018-12-10,삼성바이오로직스,207940,2306.38,4646.0,71831.0,1654.0,80.64
38,2018-12-10,삼성출판사,068290,1652.42,1766.0,1846.0,50.0,58.29
39,2018-12-10,삼성카드,029780,1074.67,39000.0,230766.0,6148.0,233.33
40,2018-12-10,삼성화재해상보험,000810,50560.25,220236.0,759077.0,265.0,536.38
41,2018-12-10,삼영전자공업,005680,4398.31,2294.0,4976.0,100.0,5.68
42,2018-12-10,삼영화학공업,003720,212.46,1004.0,1127.0,170.0,106.8
43,2018-12-10,삼진제약,005500,1450.6,2453.0,2418.0,139.0,25.01
44,2018-12-10,선도전기,007610,589.74,1084.0,1582.0,90.0,75.41
45,2018-12-10,선진,136490,2560.6,8167.0,6868.0,119.0,105.14
46,2018-12-10,세아제강지주,003030,3943.65,22899.0,24117.0,300.0,90.03
47,2018-12-10,세원셀론텍,091090,325.43,1581.0,3530.0,305.0,85.13
48,2018-12-10,세이브존I&C,067830,865.22,1784.0,5626.0,410.0,44.32
49,2018-12-10,신풍제약,019170,746.05,1850.0,3906.0,276.0,81.58
50,2018-12-10,신한지주,055550,1174.17,240090.0,4263057.0,26451.0,1164.91
51,2018-12-10,아시아나항공,020560,15.2,62271.0,85506.0,10262.0,588.18
52,2018-12-10,영화금속,012280,210.1,1805.0,1798.0,236.0,156.19
53,2018-12-10,우진,105840,938.29,983.0,1895.0,87.0,39.3
54,2018-12-10,웅진에너지,103130,-18.32,2431.0,3374.0,1279.0,208.33
55,2018-12-10,원림,005820,717.77,741.0,1475.0,110.0,30.23
