,date,name,code,PER,PBR,BPS,EPS,52_high,52_low,price,ROA,ROE,ROIC
0,2018-12-06,CJ,001040,8.75,0.93,138058.0,14750.0,195000.0,106000.0,129000.0,4.039000000000001,12.098,5.0327
1,2018-12-06,CJ씨푸드,011150,19.05,1.46,1662.0,127.0,3750.0,1920.0,2420.0,3.826,7.959,6.4541
2,2018-12-06,HDC,012630,3.15,0.41,40000.0,5169.0,50328.0,15300.0,16300.0,6.712999999999999,14.363999999999999,19.5265
3,2018-12-06,HSD엔진,082740,-36.82,0.7,7815.0,-149.0,6968.0,3333.0,5480.0,-0.799,-1.92,8.7165
4,2018-12-06,KG케미칼,001390,51.21,0.93,20013.0,362.0,33200.0,16000.0,18550.0,0.744,1.882,9.4962
5,2018-12-06,OCI,010060,10.61,0.74,140563.0,9849.0,187000.0,80000.0,104500.0,3.775,7.175,8.177
6,2018-12-06,SH에너지화학,002360,12.31,1.11,952.0,86.0,1865.0,812.0,1060.0,7.908999999999999,9.205,12.7974
7,2018-12-06,SK네트웍스,001740,36.67,0.5,9849.0,135.0,6860.0,4090.0,4935.0,0.437,1.393,1.2901
8,2018-12-06,STX,011810,0.66,6.2,2226.0,20929.0,37500.0,12600.0,13800.0,50.086,-232.183,17.7762
9,2018-12-06,WISCOM,024070,631.8,0.35,7754.0,4.0,4330.0,2395.0,2735.0,0.049,0.055,-0.0811
10,2018-12-06,갤럭시아에스엠,011420,-8.41,1.22,1470.0,-214.0,3430.0,1205.0,1800.0,-10.898,-13.825999999999999,-24.4721
11,2018-12-06,경동도시가스,267290,6.84,0.55,62343.0,5002.0,52700.0,32150.0,34200.0,,,
12,2018-12-06,고려제강,002240,18.57,0.32,68296.0,1184.0,36100.0,19700.0,22000.0,0.9249999999999999,1.7229999999999999,1.9447
13,2018-12-06,골든브릿지증권,001290,-30.25,0.82,2853.0,-78.0,3965.0,1145.0,2350.0,-0.649,-3.2800000000000002,
14,2018-12-06,극동유화,014530,7.9,0.78,4407.0,433.0,4500.0,3015.0,3420.0,6.564,10.479,5.895
15,2018-12-06,금호에이치티,214330,15.56,0.85,9294.0,505.0,8780.0,4200.0,7860.0,3.216,5.573,5.8146
16,2018-12-06,까뮤이앤씨,013700,7.33,1.03,1334.0,187.0,1885.0,970.0,1370.0,5.9639999999999995,15.309000000000001,14.4833
17,2018-12-06,노루페인트,090350,6.09,0.6,14613.0,1439.0,12900.0,7360.0,8760.0,5.066,10.233,5.737
18,2018-12-06,대덕GDS,004130,9.59,0.65,21867.0,1480.0,27400.0,10500.0,14200.0,6.2219999999999995,7.199999999999999,7.5661
19,2018-12-06,대림씨엔에스,004440,31.69,0.49,22424.0,346.0,18300.0,9010.0,10950.0,1.189,1.532,4.139
20,2018-12-06,대영포장,014160,-33.5,0.73,1276.0,-28.0,1070.0,702.0,932.0,-1.421,-2.218,-1.9055
21,2018-12-06,대원제약,003220,29.6,1.86,8933.0,562.0,24700.0,14000.0,16650.0,4.65,6.522,4.923
22,2018-12-06,대유에이텍,002880,49.01,1.05,1152.0,25.0,1565.0,682.0,1210.0,0.35000000000000003,2.197,1.7341
23,2018-12-06,동국실업,001620,-0.82,0.24,3298.0,-951.0,1535.0,701.0,778.0,-6.966,-19.040000000000003,-13.5411
24,2018-12-06,동남합성,023450,55.12,1.44,41612.0,1089.0,65800.0,56400.0,60000.0,1.7670000000000001,2.754,-0.3713
25,2018-12-06,동방,004140,-5.75,0.56,2751.0,-268.0,2945.0,1185.0,1540.0,-1.653,-9.269,-1.8582
26,2018-12-06,동아쏘시오홀딩스,000640,19.68,0.7,148700.0,5310.0,167500.0,87300.0,104500.0,2.274,3.639,9.1247
